Date,Dish,Price
Måndag  1 april,STÄNGT,115 kr
Tisdag  2 april,"Chow mein med pulled vego, sojasås, paprika, vitlök, chili och wokade nudlar",115 kr
Tisdag  2 april,"Korv Stroganoff på falukorv smaksatt med tomat, grädde och dijonsenap",115 kr
Tisdag  2 april,Spenatsoppa med kokt ägg bröd och sallad,115 kr
Onsdag  3 april,"Bakad blomkål med ostsås, stekta champinjoner och örtrostad potatis",115 kr
Onsdag  3 april,"Grillad nötfärsbiff med rattatouille , tzatziki och kryddigt ris",115 kr
Onsdag  3 april,Spenatsoppa med kokt ägg bröd och sallad,115 kr
Torsdag  4 april,Krispig Vegburgare med barbecuesås och klyftpotatis,115 kr
Torsdag  4 april,Kyckling i currysås med ris,115 kr
Torsdag  4 april,Soppa med pankakor sylt och grädde,115 kr
Fredag  5 april,Tacopaj med picklad lök och gräddfil,115 kr
Fredag  5 april,Västerbottensgratinerad kungsflundra med skaldjurssås och potatispuré,115 kr
Fredag  5 april,Spenatsoppa med kokt ägg bröd och sallad,115 kr
